drug_id,smiles
D00448,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
D00037,OC(=O)CC(O)(CC(O)=O)C(O)=O
D00155,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
D00021,N[C@@H](CC1=CC=CC=C1)C(O)=O
D01441,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
D00279,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
D00043,CC(C)OP(F)(=O)OC(C)C
D00160,NCCCCCC(O)=O
D00039,CC(C)[C@H](N)C(O)=O
D00065,CC[C@H](C)[C@H](N)C(O)=O
D00136,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
D02323,COC1=C(C2=CC=CC(C(=S)N(C)CC(O)=O)=C2C=C1)C(F)(F)F
D00107,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
D00184,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
D01977,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
D03218,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1
D03252,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
D04024,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1
D00217,CC(=O)NC1=CC=C(O)C=C1
D00577,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
D03670,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
D00045,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
D02769,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
D00900,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
D00902,[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
D00227,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00231,NC1=CC(=CNC1=O)C1=CC=NC=C1
D00371,CN1C2=C(NC=N2)C(=O)N(C)C1=O
D00417,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
D00501,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
D00528,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
D00691,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
D01133,COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1=NNC(=O)CC1C
D01704,[H][C@@]1(CC[C@](CC1)(C#N)C1=CC(OC2CCCC2)=C(OC)C=C1)C(O)=O
D02008,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
D02017,C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O
D03217,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1
D00139,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
D00225,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
D00380,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
D00394,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
D00410,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
D00437,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
D00542,[H]C(Cl)(Br)C(F)(F)F
D00574,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
D01071,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1
D02335,CC1=CC(=O)C2=CC=CC=C2C1=O
D00218,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
D00340,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
D00518,NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O
D00519,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
D00538,NS(=O)(=O)CC1=NOC2=CC=CC=C12
D00652,CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
D00655,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O
D01346,OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1
