head,relation,tail,label
D00002,DRUG_TARGET,hsa:10,1.0
D00448,DRUG_TARGET,hsa:10,1.0
D00037,DRUG_TARGET,hsa:100,1.0
D00155,DRUG_TARGET,hsa:100,1.0
D00021,DRUG_TARGET,hsa:10056,1.0
D02880,DRUG_TARGET,hsa:1017,1.0
D02880,DRUG_TARGET,hsa:1018,1.0
D01441,DRUG_TARGET,hsa:10188,1.0
D02880,DRUG_TARGET,hsa:1019,1.0
D02880,DRUG_TARGET,hsa:1020,1.0
D02880,DRUG_TARGET,hsa:1021,1.0
D02880,DRUG_TARGET,hsa:1022,1.0
D02880,DRUG_TARGET,hsa:1024,1.0
D02880,DRUG_TARGET,hsa:1025,1.0
D00279,DRUG_TARGET,hsa:10269,1.0
D00043,DRUG_TARGET,hsa:10279,1.0
D00160,DRUG_TARGET,hsa:10279,1.0
D00039,DRUG_TARGET,hsa:10295,1.0
D00065,DRUG_TARGET,hsa:10295,1.0
D02323,DRUG_TARGET,hsa:10327,1.0
D00107,DRUG_TARGET,hsa:1033,1.0
D00184,DRUG_TARGET,hsa:1033,1.0
D01441,DRUG_TARGET,hsa:10461,1.0
D03252,DRUG_TARGET,hsa:10461,1.0
D04025,DRUG_TARGET,hsa:10461,1.0
D00577,DRUG_TARGET,hsa:10549,1.0
D03670,DRUG_TARGET,hsa:10549,1.0
D04028,DRUG_TARGET,hsa:1056,1.0
D00021,DRUG_TARGET,hsa:10667,1.0
D00002,DRUG_TARGET,hsa:107,1.0
D00045,DRUG_TARGET,hsa:107,1.0
D02769,DRUG_TARGET,hsa:107,1.0
D01276,DRUG_TARGET,hsa:10720,1.0
D00043,DRUG_TARGET,hsa:10747,1.0
D00002,DRUG_TARGET,hsa:108,1.0
D00900,DRUG_TARGET,hsa:10825,1.0
D00902,DRUG_TARGET,hsa:10825,1.0
D03829,DRUG_TARGET,hsa:10825,1.0
D00227,DRUG_TARGET,hsa:10846,1.0
D00417,DRUG_TARGET,hsa:10846,1.0
D00501,DRUG_TARGET,hsa:10846,1.0
D00528,DRUG_TARGET,hsa:10846,1.0
D00691,DRUG_TARGET,hsa:10846,1.0
D01133,DRUG_TARGET,hsa:10846,1.0
D01690,DRUG_TARGET,hsa:10846,1.0
D01712,DRUG_TARGET,hsa:10846,1.0
D02008,DRUG_TARGET,hsa:10846,1.0
D02017,DRUG_TARGET,hsa:10846,1.0
D02042,DRUG_TARGET,hsa:10846,1.0
