,roc_fpr_kge_rf,roc_tpr_kge_rf,roc_threshold_kge_rf
0,0.0,0.0,1.948
1,0.0,0.001953125,0.948
2,0.0,0.015625,0.804
3,0.0,0.01953125,0.798
4,0.0,0.029296875,0.76
5,0.0,0.033203125,0.754
6,0.0,0.03515625,0.75
7,0.0,0.04296875,0.742
8,0.0,0.048828125,0.732
9,0.0,0.0546875,0.726
10,0.0,0.05859375,0.72
11,0.0,0.0625,0.708
12,0.0,0.064453125,0.706
13,0.0,0.068359375,0.7
14,0.0,0.072265625,0.692
15,0.0,0.080078125,0.688
16,0.0,0.087890625,0.678
17,0.0,0.095703125,0.674
18,0.0,0.099609375,0.672
19,0.0,0.1171875,0.642
20,0.0,0.125,0.638
21,0.0,0.12890625,0.634
22,0.0,0.134765625,0.632
23,0.0,0.138671875,0.626
24,0.0,0.142578125,0.624
25,0.0,0.150390625,0.614
26,0.0,0.154296875,0.612
27,0.0,0.158203125,0.608
28,0.0,0.162109375,0.606
29,0.0,0.16796875,0.602
30,0.0,0.171875,0.598
31,0.0,0.177734375,0.596
32,0.0,0.185546875,0.592
33,0.0,0.189453125,0.584
34,0.0,0.201171875,0.58
35,0.0,0.203125,0.576
36,0.0,0.20703125,0.574
37,0.0,0.212890625,0.572
38,0.0,0.220703125,0.57
39,0.0,0.22265625,0.566
40,0.0,0.232421875,0.564
41,0.0,0.23828125,0.56
42,0.0,0.240234375,0.558
43,0.0,0.244140625,0.556
44,0.0,0.25,0.554
45,0.0,0.25390625,0.55
46,0.0,0.26171875,0.548
47,0.0,0.265625,0.546
48,0.0,0.267578125,0.544
49,0.0,0.275390625,0.54
50,0.0,0.27734375,0.536
51,0.0,0.28125,0.532
52,0.0,0.29296875,0.53
53,0.0,0.30078125,0.526
54,0.0,0.306640625,0.522
55,0.0,0.310546875,0.516
56,0.0001990049751243781,0.314453125,0.514
57,0.0001990049751243781,0.318359375,0.51
58,0.0001990049751243781,0.322265625,0.502
59,0.0001990049751243781,0.328125,0.5
60,0.0001990049751243781,0.3359375,0.496
61,0.0001990049751243781,0.33984375,0.492
62,0.0001990049751243781,0.345703125,0.49
63,0.0001990049751243781,0.349609375,0.486
64,0.0001990049751243781,0.357421875,0.484
65,0.0001990049751243781,0.361328125,0.482
66,0.0001990049751243781,0.36328125,0.48
67,0.0001990049751243781,0.369140625,0.478
68,0.0001990049751243781,0.380859375,0.47
69,0.0001990049751243781,0.3828125,0.468
70,0.0001990049751243781,0.38671875,0.466
71,0.0001990049751243781,0.392578125,0.464
72,0.0001990049751243781,0.396484375,0.458
73,0.0003980099502487562,0.404296875,0.456
74,0.0003980099502487562,0.408203125,0.454
75,0.0005970149253731343,0.416015625,0.452
76,0.0005970149253731343,0.421875,0.45
77,0.0007960199004975124,0.427734375,0.448
78,0.0007960199004975124,0.431640625,0.444
79,0.0007960199004975124,0.4375,0.442
